experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,2,100000,50,1,0,151202.0,0.0,29.6241,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,2,100000,50,2,0,152744.0,0.0,26.8505,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,2,100000,50,3,0,149261.0,0.0,27.2617,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,2,100000,50,4,0,148752.0,0.0,28.1191,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,2,100000,50,5,0,149136.0,0.0,28.4156,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,4,100000,50,1,0,121023.0,0.0,41.7439,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,4,100000,50,2,0,106531.0,0.0,32.3053,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,4,100000,50,3,0,114441.0,0.0,37.4519,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,4,100000,50,4,0,110100.0,0.0,35.4047,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,4,100000,50,5,0,114425.0,0.0,39.4634,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,6,100000,50,1,0,310456.0,2.0,43.1593,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,6,100000,50,2,0,82368.0,0.0,38.9408,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,6,100000,50,3,0,201365.0,1.0,44.0194,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,6,100000,50,4,0,86891.0,0.0,44.1804,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,6,100000,50,5,0,79168.0,0.0,40.1031,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,8,100000,50,1,0,387217.0,3.0,44.5111,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,8,100000,50,2,0,68745.0,0.0,42.9389,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,8,100000,50,3,0,181693.0,1.0,44.4847,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,8,100000,50,4,0,184435.0,1.0,45.7204,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,8,100000,50,5,0,67114.0,0.0,42.9345,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,10,100000,50,1,0,69216.0,0.0,46.396,,
tiempo_vs_drones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,10,100000,50,2,0,271766.0,2.0,44.7417,,
