experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,1,0,104087.0,0.0,39.2172,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,2,0,97026.0,0.0,37.004,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,3,0,89600.0,0.0,37.3034,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,4,0,109489.0,0.0,38.1217,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,5,0,101241.0,0.0,38.6297,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,100,1,0,331027.0,1.0,69.4972,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,100,2,0,223156.0,0.0,67.4022,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,100,3,0,248722.0,0.0,67.0826,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,100,4,0,224555.0,0.0,64.404,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,100,5,0,222152.0,0.0,67.0183,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,200,1,0,866672.0,0.0,95.2314,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,200,2,0,893743.0,0.0,92.3898,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,200,3,0,981380.0,0.0,93.3334,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,200,4,0,889642.0,0.0,93.2146,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,200,5,0,908209.0,0.0,97.9349,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,500,1,0,8471487.0,5.0,164.703,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,500,2,0,4882434.0,0.0,157.67,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,500,3,0,11969522.0,0.0,158.113,,
tiempo_vs_ticks_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,500,4,0,7965540.0,1.0,159.033,,
