experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,1,0,107994.0,0.0,37.8088,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,2,0,94367.0,0.0,35.3192,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,3,0,96893.0,0.0,33.7219,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,4,0,93488.0,0.0,35.8692,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,5,0,102052.0,0.0,37.3515,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,100,1,0,233720.0,0.0,66.1718,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,100,2,0,260264.0,0.0,73.329,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,100,3,0,238158.0,0.0,64.222,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,100,4,0,219750.0,0.0,65.7675,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,100,5,0,229697.0,0.0,65.5123,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,200,1,0,880246.0,0.0,85.2913,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,200,2,0,920439.0,0.0,92.2941,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,200,3,0,904470.0,0.0,88.3901,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,200,4,0,868040.0,0.0,93.1286,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,200,5,0,914497.0,0.0,93.9627,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,500,1,0,11051335.0,1.0,157.075,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,500,2,0,7384788.0,1.0,165.159,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,500,3,0,13327320.0,2.0,152.704,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,500,4,0,11196859.0,1.0,155.875,,
tiempo_vs_ticks_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,500,5,0,7777325.0,6.0,165.999,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,50,1,0,558490.0,0.0,102.044,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,50,2,0,567148.0,0.0,104.588,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,50,3,0,559197.0,0.0,100.613,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,50,4,0,608687.0,0.0,100.591,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,50,5,0,582915.0,0.0,101.036,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,100,1,0,1581061.0,0.0,186.206,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,100,2,0,1703363.0,0.0,195.674,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,100,3,0,1748249.0,0.0,188.858,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,100,4,0,1696388.0,0.0,188.708,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,100,5,0,1643290.0,0.0,193.598,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,200,1,0,4255276.0,0.0,364.101,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,200,2,0,4163352.0,0.0,351.911,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,200,3,0,4273300.0,0.0,354.58,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,200,4,0,4240162.0,0.0,353.311,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,200,5,0,4442575.0,0.0,377.29,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,500,1,0,17817121.0,1.0,848.118,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,500,2,0,15314073.0,0.0,805.203,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,500,3,0,15054876.0,0.0,809.921,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,500,4,0,14727083.0,0.0,800.459,,
tiempo_vs_ticks_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,100000,500,5,0,14912097.0,0.0,812.721,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,50,1,0,1877618.0,0.0,260.92,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,50,2,0,1886270.0,0.0,261.657,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,50,3,0,1889967.0,0.0,265.368,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,50,4,0,1860999.0,0.0,263.122,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,50,5,0,1852967.0,0.0,265.401,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,100,1,0,6419706.0,0.0,523.01,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,100,2,0,6339219.0,0.0,516.698,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,100,3,0,6404580.0,0.0,511.801,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,100,4,0,6359613.0,0.0,513.641,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,100,5,0,6304755.0,0.0,519.983,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,200,1,0,20362705.0,0.0,1024.36,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,200,2,0,21852044.0,0.0,1032.81,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,200,3,0,21142798.0,0.0,1011.39,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,200,4,0,23346411.0,1.0,1016.76,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,200,5,0,20543613.0,0.0,1017.32,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,500,1,0,87136590.0,0.0,2561.13,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,500,2,0,93084832.0,1.0,2513.95,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,500,3,0,92130806.0,1.0,2469.3,,
tiempo_vs_ticks_b,instancias/PSP-UAV_03_b.txt,PSP-UAV_03_b,b,5,100000,500,4,0,94033992.0,2.0,2543.07,,
