experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,10000,50,1,0,92404.0,0.0,3.73588,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,10000,50,2,0,108003.0,0.0,3.75297,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,10000,50,3,0,95099.0,0.0,3.51398,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,10000,50,4,0,96558.0,0.0,3.58535,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,10000,50,5,0,114199.0,0.0,3.70864,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,30000,50,1,0,97763.0,0.0,11.8048,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,30000,50,2,0,91844.0,0.0,10.9091,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,30000,50,3,0,112706.0,0.0,11.8181,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,30000,50,4,0,93602.0,0.0,10.5656,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,30000,50,5,0,104331.0,0.0,11.2866,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,70000,50,1,0,104526.0,0.0,28.4239,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,70000,50,2,0,101053.0,0.0,27.3368,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,70000,50,3,0,94618.0,0.0,26.1776,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,70000,50,4,0,214127.0,1.0,28.0579,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,70000,50,5,0,90693.0,0.0,26.9704,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,1,0,94309.0,0.0,36.4415,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,2,0,92659.0,0.0,36.6723,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,3,0,106258.0,0.0,40.4371,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,4,0,94000.0,0.0,34.2037,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,100000,50,5,0,99430.0,0.0,38.3865,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,150000,50,1,0,113958.0,0.0,61.0481,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,150000,50,2,0,88593.0,0.0,54.0695,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,150000,50,3,0,92889.0,0.0,59.6113,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,150000,50,4,0,88243.0,0.0,56.0096,,
valor_vs_iteraciones_a,instancias/PSP-UAV_01_a.txt,PSP-UAV_01_a,a,5,150000,50,5,0,314196.0,2.0,66.9359,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,10000,50,1,0,568049.0,0.0,9.45991,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,10000,50,2,0,734143.0,1.0,9.05471,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,10000,50,3,0,632137.0,0.0,8.24098,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,10000,50,4,0,602957.0,0.0,9.82856,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,10000,50,5,0,577027.0,0.0,9.38616,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,30000,50,1,0,613371.0,0.0,29.6289,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,30000,50,2,0,559629.0,0.0,28.9612,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,30000,50,3,0,576530.0,0.0,29.9826,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,30000,50,4,0,559644.0,0.0,30.3704,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,30000,50,5,0,605841.0,0.0,29.7179,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,70000,50,1,0,566589.0,0.0,69.4302,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,70000,50,2,0,586819.0,0.0,69.7126,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,70000,50,3,0,591754.0,0.0,69.5824,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,70000,50,4,0,552032.0,0.0,73.166,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,70000,50,5,0,559764.0,0.0,71.2012,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,50,1,0,546136.0,0.0,98.6907,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,50,2,0,578374.0,0.0,99.3662,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,50,3,0,596545.0,0.0,103.894,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,50,4,0,547149.0,0.0,98.1854,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,100000,50,5,0,827318.0,2.0,95.7716,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,150000,50,1,0,542304.0,0.0,146.034,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,150000,50,2,0,570782.0,0.0,151.326,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,150000,50,3,0,547990.0,0.0,141.232,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,150000,50,4,0,544625.0,0.0,150.814,,
valor_vs_iteraciones_a,instancias/PSP-UAV_02_a.txt,PSP-UAV_02_a,a,5,150000,50,5,0,580372.0,0.0,146.169,,
valor_vs_iteraciones_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,10000,50,1,0,2176385.0,2.0,25.316,,
valor_vs_iteraciones_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,10000,50,2,0,1957485.0,0.0,26.2651,,
valor_vs_iteraciones_a,instancias/PSP-UAV_03_a.txt,PSP-UAV_03_a,a,5,10000,50,3,0,2164100.0,2.0,26.3207,,
