experiment,instance,instance_stem,instance_variant,drones,iterations,ticks,repeat,exit_code,urgencia,colisiones,tiempo_ejecucion,tiempo_evaluador,tiempo_decodificador
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,10000,50,1,0,91704.0,0.0,3.75643,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,10000,50,2,0,210234.0,1.0,3.94654,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,10000,50,3,0,97065.0,0.0,3.54609,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,10000,50,4,0,95865.0,0.0,3.49608,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,10000,50,5,0,106724.0,0.0,3.66387,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,30000,50,1,0,97127.0,0.0,11.3651,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,30000,50,2,0,91213.0,0.0,10.1796,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,30000,50,3,0,93498.0,0.0,10.6698,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,30000,50,4,0,94340.0,0.0,10.7508,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,30000,50,5,0,221067.0,1.0,11.7881,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,70000,50,1,0,93380.0,0.0,27.0988,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,70000,50,2,0,91650.0,0.0,25.235,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,70000,50,3,0,94221.0,0.0,25.2091,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,70000,50,4,0,93493.0,0.0,23.9332,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,70000,50,5,0,214898.0,1.0,31.1677,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,1,0,97748.0,0.0,38.6401,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,2,0,91844.0,0.0,35.8824,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,3,0,93426.0,0.0,35.1378,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,4,0,94834.0,0.0,35.3175,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,100000,50,5,0,97461.0,0.0,35.1906,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,150000,50,1,0,88421.0,0.0,52.9309,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,150000,50,2,0,105210.0,0.0,58.1282,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,150000,50,3,0,95765.0,0.0,58.5213,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,150000,50,4,0,90380.0,0.0,52.4164,,
valor_vs_iteraciones_b,instancias/PSP-UAV_01_b.txt,PSP-UAV_01_b,b,5,150000,50,5,0,94429.0,0.0,59.0743,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,10000,50,1,0,732734.0,1.0,9.47423,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,10000,50,2,0,572995.0,0.0,10.1044,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,10000,50,3,0,604100.0,0.0,10.3447,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,10000,50,4,0,722603.0,1.0,9.01864,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,10000,50,5,0,590339.0,0.0,10.5546,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,30000,50,1,0,584175.0,0.0,29.7909,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,30000,50,2,0,582149.0,0.0,29.9359,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,30000,50,3,0,811294.0,2.0,29.3729,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,30000,50,4,0,704827.0,1.0,29.4705,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,30000,50,5,0,571861.0,0.0,31.9439,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,70000,50,1,0,586147.0,0.0,73.8937,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,70000,50,2,0,579873.0,0.0,73.1541,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,70000,50,3,0,584575.0,0.0,68.0186,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,70000,50,4,0,581548.0,0.0,72.0178,,
valor_vs_iteraciones_b,instancias/PSP-UAV_02_b.txt,PSP-UAV_02_b,b,5,70000,50,5,0,558502.0,0.0,70.4954,,
