GRID_ROWS 10
GRID_COLS 10

N_OBSTACLES 5
1 6
3 6
7 2
3 4
8 2

N_URGENCIES 70
0 1 1
0 0 1
4 3 4
0 3 4
2 1 2
1 1 2
0 2 2
1 5 6
2 2 5
3 3 6
1 3 6
2 6 5
3 9 1
0 5 4
1 2 4
1 0 1
2 5 7
6 3 1
2 3 7
1 4 7
1 8 1
7 6 1
5 0 1
1 9 1
1 7 2
0 7 1
3 1 2
5 4 2
2 4 10
4 4 5
4 2 2
6 8 1
4 9 4
0 8 5
8 3 5
9 9 1
5 8 1
5 5 2
3 0 1
7 0 1
2 0 1
0 4 4
7 1 2
9 6 2
6 9 4
2 9 1
9 2 3
8 7 5
7 9 5
4 7 2
4 8 3
8 4 2
3 7 4
6 0 3
5 2 2
4 0 1
2 8 5
4 1 5
8 8 1
8 0 1
9 0 1
7 8 3
6 5 4
9 3 4
6 2 3
3 2 1
7 7 1
8 1 2
9 4 3
8 6 1

N_BASES 3
0 4 5
1 8 5
2 6 1
