GRID_ROWS 20
GRID_COLS 20

N_OBSTACLES 20
12 10
19 10
16 8
10 8
8 9
1 1
6 8
12 4
5 5
8 16
0 1
13 4
0 4
15 11
9 3
12 7
19 12
17 2
15 6
16 7

N_URGENCIES 200
13 13 4
13 16 3
16 13 8
14 12 5
16 12 6
14 13 6
13 17 2
16 15 8
14 14 6
15 17 4
17 12 6
17 14 8
17 9 1
18 19 1
19 11 2
15 13 7
19 19 1
18 13 6
19 15 4
12 13 3
19 14 5
13 12 3
15 12 6
16 16 6
17 13 7
15 10 3
15 15 7
16 18 3
12 16 2
18 15 6
16 9 1
11 13 1
16 11 5
14 17 3
16 14 10
19 16 3
11 17 1
10 17 1
14 10 2
11 14 1
11 16 1
15 16 6
14 11 3
19 8 1
11 12 1
14 9 1
19 17 2
12 11 1
14 15 6
14 19 1
17 8 1
13 18 1
15 7 1
19 13 4
1 9 1
4 8 5
7 6 6
7 11 5
3 7 3
7 9 8
9 6 5
14 8 1
8 3 1
6 10 6
7 7 8
9 11 3
11 5 1
7 5 5
2 3 1
6 5 4
7 0 1
5 8 6
7 4 3
9 5 3
4 14 1
12 9 1
4 7 4
6 4 3
3 2 1
2 11 1
7 10 6
5 10 5
3 14 1
13 8 1
13 9 1
3 9 3
4 9 4
8 8 8
6 9 7
0 5 1
6 7 7
10 7 4
9 10 5
6 2 1
6 12 3
3 8 3
9 13 1
8 4 3
6 3 1
5 6 5
1 4 1
3 4 1
7 12 3
4 10 3
0 11 1
0 7 1
4 5 2
6 6 6
8 11 4
4 6 3
7 8 10
9 8 6
7 3 1
11 7 3
8 7 7
5 1 1
2 0 4
7 1 1
17 0 1
2 1 1
10 19 2
3 5 3
14 1 3
0 17 1
10 11 2
14 6 3
6 18 2
17 11 3
6 19 2
12 19 4
7 15 5
12 1 3
18 10 1
10 3 4
14 5 5
1 19 3
18 16 2
5 19 5
5 0 1
2 9 3
14 7 3
14 3 5
16 4 4
9 18 1
11 1 2
5 2 4
8 1 1
11 9 1
7 16 3
6 14 2
8 12 3
9 1 3
17 18 2
1 12 5
18 2 5
13 5 3
17 5 2
1 8 1
4 12 4
12 6 5
1 11 4
0 18 3
16 3 1
1 7 3
2 6 4
18 14 2
12 17 2
0 12 2
1 13 5
0 3 5
12 2 1
17 17 1
18 6 4
4 16 4
1 17 3
4 4 1
8 2 4
5 3 5
0 6 5
9 9 4
0 10 4
18 5 2
10 0 5
18 12 4
17 10 2
5 16 3
16 17 2
3 18 3
2 17 4
17 19 1
3 17 3
16 2 5
15 5 4
0 16 4
4 15 4
12 3 3
12 18 3
5 11 3
8 15 3
2 14 5

N_BASES 5
0 3 12
1 10 16
2 11 2
3 2 4
4 18 17

