GRID_ROWS 30
GRID_COLS 30

N_OBSTACLES 40
28 10
14 12
6 14
0 12
17 15
10 6
13 1
27 14
12 7
28 7
2 28
4 13
3 1
25 11
11 28
27 8
14 2
8 25
19 26
29 13
13 28
8 12
0 0
29 20
25 8
9 26
9 25
16 15
23 23
12 3
21 7
22 13
11 12
21 26
29 4
18 26
26 17
12 18
29 3
25 9

N_URGENCIES 500
1 0 4
2 1 6
1 12 1
1 4 8
6 2 4
0 5 7
3 3 8
7 2 3
4 5 7
1 8 4
1 7 6
3 0 4
2 3 8
0 1 5
2 9 3
0 6 6
0 8 4
6 5 4
0 9 3
0 3 7
8 7 1
7 4 3
1 5 8
0 2 6
7 3 3
1 11 1
8 5 2
3 2 7
8 4 2
3 11 1
9 1 1
8 0 1
4 2 6
3 4 8
1 6 7
11 3 1
4 0 4
6 9 1
2 2 7
5 6 5
4 1 5
3 8 4
5 7 4
0 4 7
4 3 7
3 5 8
8 10 1
9 3 1
1 2 7
2 8 5
6 1 3
3 6 7
2 6 7
1 1 6
2 12 1
11 10 4
9 4 4
10 5 4
7 5 6
10 8 6
5 11 5
13 5 1
8 3 3
6 6 7
7 8 10
4 10 5
12 14 1
14 15 1
5 0 1
4 7 6
9 11 5
5 3 3
5 5 5
5 8 7
3 9 4
13 10 2
6 10 7
6 3 3
6 12 4
15 7 1
9 8 7
5 9 7
10 0 1
10 11 4
1 9 2
9 5 5
4 12 3
12 5 2
12 11 2
13 12 1
10 4 3
8 8 8
14 0 1
10 7 6
9 9 7
1 10 2
7 10 7
7 7 8
5 13 3
7 0 1
7 6 7
9 6 6
11 9 4
7 9 8
11 5 3
6 13 3
13 7 2
7 11 6
10 2 1
8 9 8
0 15 1
3 10 4
3 13 1
9 10 6
9 7 7
12 15 1
12 0 1
10 9 6
5 4 4
8 1 1
12 8 3
10 10 5
2 7 3
10 14 1
8 6 7
4 11 4
14 21 2
2 18 1
10 12 2
12 19 6
5 18 5
4 9 1
5 23 1
6 21 4
13 20 4
7 18 7
0 17 1
0 19 1
14 11 1
10 23 3
4 15 2
9 20 7
8 15 6
6 24 1
1 19 1
7 16 6
9 16 7
11 20 6
5 16 4
14 13 1
9 12 2
7 13 3
7 19 7
10 22 4
15 20 2
16 19 1
6 22 3
3 24 1
6 17 6
4 18 3
15 21 1
2 17 1
9 18 10
7 15 5
18 16 1
10 17 8
8 17 8
5 20 4
12 21 4
10 25 1
7 21 5
4 17 3
5 17 4
1 17 1
11 17 7
8 18 8
16 16 1
1 16 1
7 12 2
7 14 4
11 23 3
0 14 1
6 20 5
9 17 8
0 18 1
8 19 8
8 16 7
14 16 3
8 20 7
13 14 2
13 22 2
9 19 8
10 19 8
10 15 6
9 24 2
5 22 2
5 10 1
7 20 6
6 19 6
3 15 1
7 22 4
4 22 1
18 13 1
12 16 5
0 20 1
17 6 2
23 1 6
15 0 1
18 10 1
15 5 1
23 2 7
27 7 3
18 0 1
24 3 8
17 7 1
19 3 4
23 13 1
28 3 3
24 7 6
29 0 1
25 1 5
29 5 2
19 10 1
29 6 2
23 6 7
25 7 5
16 9 1
25 16 1
22 2 7
27 1 3
25 0 4
25 2 6
18 4 3
17 1 1
24 0 4
26 1 4
16 0 1
20 8 3
21 0 4
24 5 8
23 5 8
23 0 5
28 4 3
22 10 2
21 3 7
29 9 1
19 7 3
21 4 7
25 3 7
22 5 8
20 0 3
27 4 5
20 5 6
22 7 6
18 6 3
28 1 2
22 12 1
19 0 2
25 5 7
26 4 6
26 6 5
27 11 1
29 1 1
18 9 1
22 1 6
24 1 6
19 15 1
24 2 7
23 7 6
20 12 1
20 7 4
18 5 3
26 0 3
27 0 2
13 3 1
23 3 8
26 2 5
16 11 1
27 6 4
19 8 2
29 2 2
24 4 8
19 9 1
20 2 5
24 13 1
21 12 1
20 9 5
21 23 2
21 27 5
21 22 2
25 18 5
24 21 5
21 25 5
20 20 4
9 13 4
3 29 2
26 27 5
19 11 4
20 6 5
18 24 4
3 20 4
25 27 1
10 16 4
5 29 2
28 9 1
16 14 3
0 16 4
12 27 5
11 22 1
21 2 4
2 23 1
29 19 1
24 14 1
6 0 4
1 13 2
26 14 5
14 4 3
7 25 1
17 4 2
23 28 4
16 21 2
15 9 2
13 29 1
29 14 2
3 28 2
11 21 1
16 22 5
5 15 3
11 18 5
0 27 5
1 21 4
2 0 5
11 1 3
23 24 1
24 19 3
27 19 3
9 22 1
27 28 1
20 17 2
2 20 4
14 20 3
20 10 1
28 22 4
29 23 3
28 13 1
4 26 5
27 13 4
1 3 3
2 10 4
14 6 1
25 13 3
17 23 3
20 16 5
3 27 2
25 10 4
29 17 5
29 29 3
2 11 4
11 24 3
14 28 2
14 9 2
15 23 3
25 22 3
22 29 5
27 27 2
6 25 4
15 29 1
18 19 3
22 14 5
24 15 4
23 26 3
20 18 5
11 4 2
21 5 1
12 20 2
12 2 1
15 27 3
18 23 4
11 27 4
17 28 1
19 25 5
21 8 1
21 20 2
15 14 3
18 7 3
6 8 3
16 5 1
28 26 3
0 29 4
5 25 2
7 23 2
12 23 2
0 28 1
26 8 2
6 27 2
4 21 5
3 14 3
28 25 2
12 9 1
6 18 4
22 26 5
20 29 3
2 16 4
11 25 3
12 13 4
1 28 4
8 14 4
18 17 2
27 18 5
2 27 2
26 3 5
28 24 4
22 20 5
27 9 2
9 0 3
26 20 1
11 14 5
23 19 3
18 28 3
6 28 2
28 19 4
13 11 4
28 28 2
1 23 3
23 4 1
7 29 5
13 26 5
19 20 4
24 12 3
6 15 5
1 18 3
10 3 1
0 13 1
12 6 5
16 24 1
17 21 5
20 3 2
24 8 4
25 25 1
13 13 4
24 25 3
2 19 5
3 23 2
27 16 2
18 18 5
4 4 3
28 21 2
5 21 2
14 18 5
29 28 1
13 15 3
26 26 5
24 26 4
17 14 3
22 15 3
3 12 5
27 26 3
5 14 2
11 0 2
24 22 5
3 17 5
26 13 2
0 7 3
13 21 5
27 17 1
19 6 4
14 10 1
12 24 2
4 6 5
17 17 1
29 26 1
16 2 1
1 29 5
29 10 1
17 13 4
10 27 4
22 19 1
4 14 1
18 12 1
8 13 5
20 13 3
24 20 5
11 8 4
15 2 4
14 14 2
5 27 4
23 21 4
19 14 2
2 25 4
13 27 4
20 4 5
26 29 1
20 23 4
19 19 5
15 6 5
22 11 5
22 0 3
17 0 4
15 18 1
14 19 2

N_BASES 10
0 19 17
1 2 24
2 17 3
3 13 17
4 4 16
5 25 28
6 26 10
7 16 7
8 5 1
9 6 26

